Headline,Polarity,Sentiment
"Who is Samik Bhattacharya, Bengal BJP's new chief? What are the challenges?",0.13636363636363635,Positive
Food delivery agent drowns after falling in swimming pool of Mumbai building,0.0,Neutral
Ban on Pak social media channels lifted? Several accounts 'accessible' in India,0.1361111111111111,Positive
"Jharkhand: Father, brothers rape blind girl, mother gets her aborted; 3 held",-0.5,Negative
‘Hare Rama Hare Krishna’ chants as PM Narendra Modi begins historic Ghana visit,0.0,Neutral
Encounter breaks out between security forces and terrorists in J&K’s Kishtwar,0.0,Neutral
"Mumbai panipuri seller’s son, who failed Class 11, now secures an IIT seat",-0.5,Negative
"Orissa HC: Woman contractual employee cannot be denied maternity leave, benefits",0.0,Neutral
'Best moment': Lawyer as Shami's wife Hasin Jahan wins big alimony battle,0.43333333333333335,Positive
Kerala HC to watch Suesh Gopi film ‘Janaki vs State of Kerala’ amid title row,0.0,Neutral
"Pune-bound SpiceJet aircraft's window frame dislodges mid-air, airline says…",0.0,Neutral
Arunachal Pradesh is India’s top carbon sink: CM Pema Khandu,0.5,Positive
Bengaluru: 28-year-old Infosys staffer held for recording videos of woman colleague,0.0,Neutral
Quad launches new critical minerals initiative during Washington Summit,0.06818181818181818,Positive
Fire breaks out at rooftop restaurant in Patna mall; no casualties,0.0,Neutral
"Jharkhand man undergoes robot-assisted knee surgery in Delhi, walks same day",0.0,Neutral
"Owaisi slams vigilantes over Aadhaar, ‘pant utaaro’ checks at UP eateries",0.0,Neutral
"Murder, gold and live-ins: Jhansi woman’s chilling plot to kill mother-in-law",-0.5,Negative
"‘I was a model, Shami forced me to…', claims cricketer's estranged wife",-0.30000000000000004,Negative
CRPF deploys special women's team for Amarnath Yatra pilgrims on Baltal Route,0.35714285714285715,Positive
China’s export curbs on fertilisers cut supplies into India,0.0,Neutral
"Assam, Meghalaya begin installing boundary in Hahim to resolve border dispute",0.0,Neutral
Explained: ‘Golden Urn’ at the heart of Dalai Lama succession choice row,0.3,Positive
Appreciate enhanced measures to strengthen Aadhaar issuance process in Manipur: Biren Singh,0.0,Neutral
"Similipal tigress Zeenat that created terror in 3 states 'pregnant', claims forest official",0.3333333333333333,Positive
Kolkata rape accused's lawyer claims scratch marks on body are ‘love bites’,0.5,Positive
Protesting HAU students end protest after 21 days as govt accepts most of their demands,0.5,Positive
"One year after Hathras stampede, families still in mourning as legal battle continues",0.2,Positive
Huge cache of weapons seized from Rajasthan's Pratapgarh,0.39999999999999997,Positive
